id;name;dob;affiliation
4970;E__Combe;1973-07-08;Slovak University of Technology in Bratislava
3640;M__H__Ramírez_Hernández;1997-05-11;Chinese Academy of Sciences
4971;N__Waters;2002-07-31;Beijing Normal University
2306;G__Brandi;1951-08-26;Chinese Academy of Sciences
3638;F__Lerner;2002-01-07;Beijing Normal University
4969;T__C__Tranter;1991-06-18;University of Copenhagen
2305;Franco_De_Felice;1991-11-28;Stanford University
3639;F__Berger;1978-02-01;Slovak University of Technology in Bratislava
2304;M__De_Santi;1966-04-14;University of Copenhagen
2303;G__Baldelli;1969-08-09;Colorado State University
2302;B__Hutton;1999-01-25;University of Nebraska-Lincoln
2301;B__Skidmore;1993-05-30;Kyoto University
2300;Sharon_E__Straus;1978-07-25;Michigan State University
3630;Amanda_B_Archuletta;1990-09-06;Chinese Academy of Sciences
4961;D__Smith;1997-08-14;University of Arkansas
3631;P__Wentzell;1986-12-25;Kyoto University
4962;E__Mizrahi;1965-01-31;University of Kentucky
3632;S__Anna‐arriola;1987-07-22;Chinese Academy of Sciences
4963;P__Cleaton_jones;1967-04-07;Michigan State University
3633;Angelina_L_Rodriguez;2003-01-30;Michigan State University
4964;J__Austin;1958-03-19;Colorado State University
3634;A__Aragon;1967-11-04;Chinese Academy of Sciences
4965;M__Braden;1950-08-21;Slovak University of Technology in Bratislava
2309;M__Stolt;1978-06-06;Michigan State University
3635;Gabriel_A__Quiñones;1962-04-04;Slovak University of Technology in Bratislava
4966;D__Brown;1963-02-28;University of Nebraska-Lincoln
2308;Kashiko_Fujii;1965-05-31;Chinese Academy of Sciences
3636;Christopher_P__Allen;1986-10-09;Michigan State University
4967;M__Miller;1972-01-30;University of Guelph
2307;D__Bonanno;1978-08-02;University of Copenhagen
3637;M__Werner_Washburne;1968-03-28;Kyoto University
4968;B__Causton;1952-05-14;Kansas State University
4980;P__Prasanth;1952-02-09;University of Guelph
3650;N__Yamashita;1961-02-28;University of Arkansas
4981;Faraz_T_Afzal;1999-09-17;Oklahoma State University
3651;Y__Miura;1968-11-15;Michigan State University
4982;Abdul_Saheer;1955-08-09;China Agricultural University
2320;K__Beutner;1955-01-21;Kansas State University
2317;D__Skelton;2000-01-29;University of Nebraska-Lincoln
3649;H__Nakanishi;1997-04-14;Beijing Normal University
2316;G__Hendry;1994-03-02;University of Kentucky
2315;Monserrat_Conde;1998-07-23;University of Nebraska-Lincoln
2314;Ryan_T__Crews;1956-06-26;University of Wisconsin-Madiso
2313;Adam_E__Fleischer;1985-09-21;Chinese Academy of Sciences
2312;M__Avalos;1960-01-30;Beijing Normal University
2311;Christopher_Girgis;1953-10-01;Slovak University of Technology in Bratislava
2310;N__Rosenblatt;1974-12-19;University of Copenhagen
3641;E__Ford;1960-07-24;Chinese Academy of Sciences
4972;D__W__Cruickshank_Boyd;2002-06-05;Wuhan University
3642;M__Haigis;1984-09-28;Michigan State University
4973;D__Williams;1992-12-22;University of Arkansas
3643;Gregory_B__Liszt;1974-01-23;Kansas State University
4974;C__Lloyd;1963-07-22;Stanford University
3644;L__Guarente;1961-12-22;University of Guelph
4975;A__D__Wilson;1960-06-12;Chinese Academy of Sciences
3645;Kevin_J__Bitterman;1996-09-02;Slovak University of Technology in Bratislava
4976;C__Main;1949-12-29;University of Arkansas
3646;Yasuyuki_Suda;1991-01-11;Oklahoma State University
4977;H__J__Wilson;1973-07-24;University of Kentucky
2319;H__Klingshirn;1975-03-22;Oklahoma State University
3647;H__Tachikawa;1950-03-26;Kansas State University
4978;Rashtra_Bhushan;1965-12-29;Wuhan University
2318;S__Saal;1951-11-22;University of Nebraska-Lincoln
3648;A__Yokota;1985-11-08;Slovak University of Technology in Bratislava
4979;Shivakumar_Shruti;1954-04-22;Stanford University
4990;G__Cervino;1966-04-05;University of Guelph
3660;Young_Shick_Hong;1994-08-27;China Agricultural University
4991;Mirta_Pinizzotto;1953-01-28;Kyoto University
3661;V__Skirda;1963-06-06;University of Copenhagen
4992;Giancarlo_Bruno;1975-04-28;University of Nebraska-Lincoln
3662;V__Volkov;1970-08-25;China Agricultural University
4993;M__Portelli;1975-06-07;University of Copenhagen
2331;P__Campbell;1954-01-05;Oklahoma State University
2330;C__Torrens;1997-12-05;Kyoto University
2328;P__Logan;1985-01-21;University of Kentucky
2327;J__Hancox;1989-09-14;Slovak University of Technology in Bratislava
2326;V__Hood_Moore;1965-07-11;University of Kentucky
2325;V__Booth;1968-08-28;Oklahoma State University
2324;G__Meyer;1965-08-02;China Agricultural University
2323;Martin_Müller;1952-11-23;Kyoto University
2322;E__Grill;1981-11-08;Oklahoma State University
2321;R__Strobl;1967-01-25;University of Wisconsin-Madiso
3652;N__Takahashi;1998-10-18;University of Copenhagen
4983;T__Chandran;1947-03-25;Kansas State University
3653;A__Rongvaux;1998-06-04;Kyoto University
4984;F__Puleio;1965-08-20;Slovak University of Technology in Bratislava
3654;F__Andris;1960-06-01;Stanford University
4985;L__Fiorillo;1956-10-10;University of Nebraska-Lincoln
3655;Frédéric_Van_Gool;1953-09-03;University of Arkansas
4986;F__Gorassini;1980-09-19;Colorado State University
3656;O__Leo;1950-12-13;Beijing Normal University
4987;A__Iandolo;1991-07-07;Beijing Normal University
3657;Rozalyn_M__Anderson;1965-09-17;University of Kentucky
4988;A__Meto;1977-03-08;University of Wisconsin-Madiso
3658;Jason_G__Wood;1950-03-29;Beijing Normal University
4989;C__DAmico;1991-01-05;University of Nebraska-Lincoln
2329;K__Robinson;1964-01-14;Chinese Academy of Sciences
3659;Ki_Jeong_Suh;1987-06-07;Michigan State University
3670;J__Manchester;1982-12-31;Beijing Normal University
3671;J__Gordon;2001-10-15;University of Guelph
3672;S__Seo;1972-04-10;Kyoto University
3673;H__Lewin;1978-12-23;University of Guelph
2342;K__Hill;1986-11-03;University of Copenhagen
2341;G__Murray;1977-01-26;University of Guelph
2340;Claire_E_Panagoda;1974-03-27;University of Illinois
2339;S__Dyer;1992-01-09;University of Guelph
2338;I__Cameron;1974-07-16;Chinese Academy of Sciences
2337;M__Spink;1975-06-03;Stanford University
2336;Maria_Auhl;1963-02-13;University of Nebraska-Lincoln
2335;A__Hatton;1996-03-20;University of Illinois
2334;M__Witham;1994-03-15;Michigan State University
2333;A__Gordon;1986-09-30;Slovak University of Technology in Bratislava
2332;H__Frost;1969-06-08;University of Wisconsin-Madiso
3663;Chung_Yung_J_Lee;1955-08-10;University of Arkansas
4994;A__Amato;2001-07-28;Slovak University of Technology in Bratislava
3664;Cherl‐Ho_Lee;1964-01-29;Wuhan University
4995;R__Lo_Giudice;1951-02-02;Chinese Academy of Sciences
3665;J__Brejning;1990-09-04;Wuhan University
4996;A__Linjawi;1961-04-08;University of Arkansas
3666;L__Jespersen;1948-08-25;University of Arkansas
4997;F__Lipari;1994-08-07;University of Wisconsin-Madiso
3667;N__Arneborg;1970-04-19;Beijing Normal University
4998;A__Alibrandi;1962-07-21;University of Kentucky
3668;Magda_Latorre_Esteves;1999-10-04;Colorado State University
4999;F__Lo_Giudice;1956-05-27;Kansas State University
3669;Stephen_S__Lin;1956-11-30;Kansas State University
3680;A__S__Balasubramanian;1997-05-23;University of Arkansas
3681;D__Knox;1964-09-29;Wuhan University
3682;A__Rosenberg;1948-01-01;University of Illinois
3683;S__Gillam;2001-07-03;Slovak University of Technology in Bratislava
3684;J__G__Watson;1953-08-01;University of Arkansas
2353;K__Carter;1953-06-06;Michigan State University
2352;E__Filippucci;1988-09-24;Kyoto University
2351;M__Robles_San_Román;1955-09-09;University of Guelph
2350;L__Ventura_Ríos;1952-09-07;University of Kentucky
2349;G__Sánchez_Bringas;1991-04-16;Beijing Normal University
2348;C__Hernández_Diaz;1968-03-16;University of Copenhagen
2347;A__Tennant;1951-05-16;University of Illinois
2346;P__Conaghan;1975-03-19;Wuhan University
2345;C__Drake;1992-12-04;University of Guelph
2344;N__Kerse;1990-03-04;Slovak University of Technology in Bratislava
2343;R__Cumming;1950-07-22;Michigan State University
3674;G__Magni;1978-07-17;Kansas State University
3675;A__Amici;1960-09-30;Colorado State University
3676;M__Emanuelli;1991-04-21;University of Guelph
3677;N__Raffaelli;1999-02-08;Kansas State University
3678;S__Ruggieri;1959-07-13;University of Illinois
3679;R__Majumdar;1979-11-04;University of Arkansas
3690;F__Guengerich;1966-01-15;Wuhan University
3691;E__Neve;2003-01-26;University of Kentucky
3692;Å__Nordling;1977-05-16;Kyoto University
3693;T__Andersson;1994-05-22;Kyoto University
3694;U__Hellman;1988-06-30;Beijing Normal University
3695;U__Diczfalusy;1997-02-11;Colorado State University
2364;Laura_Lopez_Hernandez;1986-04-25;Colorado State University
2363;Martin_E_Vergara;1954-11-18;Chinese Academy of Sciences
2362;Tamara_Araujo;1961-12-22;University of Guelph
2361;J__B__Kiriella;1963-01-23;Wuhan University
2360;H__Banwell;1949-12-20;Beijing Normal University
2359;Saravana_Kumar;1961-06-06;Colorado State University
2358;Hayley_Uden;1960-01-08;Colorado State University
2357;S__Dars;1969-03-09;Colorado State University
2356;D__Turner;1955-09-16;Colorado State University
2355;D__Chessman;1986-04-05;University of Wisconsin-Madiso
2354;S__Walmsley;1994-01-19;Chinese Academy of Sciences
3685;S__Chaykin;1958-03-14;University of Wisconsin-Madiso
3686;S__Shayanfar;1951-03-25;University of Guelph
3687;A__Broumand;1959-11-12;University of Illinois
3688;S__Pillai;1986-11-06;University of Nebraska-Lincoln
3689;Kai_Wang;1999-01-16;University of Nebraska-Lincoln
2375;M__Yokogawa;1948-02-27;Slovak University of Technology in Bratislava
2374;Emiko_Saito;2003-02-13;Chinese Academy of Sciences
2373;Tomoko_Hiramatsu;1963-02-17;Oklahoma State University
2372;Arisu_Watanabe;1999-06-28;Kyoto University
2371;Shizuko_Omote;1988-12-10;Kyoto University
2370;M__Marshall;1991-09-30;University of Copenhagen
2369;L__Gates;1985-04-05;Kyoto University
2368;S__Mathur;2002-07-13;Oklahoma State University
2367;W__Gage;1965-01-15;Kansas State University
2366;M__Herridge;1961-12-10;University of Copenhagen
2365;J__Cameron;1947-04-28;Beijing Normal University
3696;I__Johansson;1982-01-16;University of Guelph
3697;M__Ingelman_Sundberg;1964-05-04;Stanford University
3698;Antje_Havemeyer;1973-02-05;University of Nebraska-Lincoln
3699;J__Lang;1957-05-31;China Agricultural University
2386;Peter_J__Godolphin;1982-05-13;University of Guelph
2385;E__Patsko;1996-02-03;Kyoto University
2384;Rhian_Miranda;1991-05-14;University of Illinois
2383;B__Allen;1960-11-19;Chinese Academy of Sciences
2382;A__Vandal;1958-10-15;China Agricultural University
2381;S__Stewart;1994-08-11;Beijing Normal University
2380;K__Tsukasaki;1983-04-18;University of Kentucky
2379;Kaoru_Kyota;1995-01-28;Stanford University
2378;Akie_Ichimori;1990-03-11;Wuhan University
2377;Chiaki_Sakakibara;1977-03-16;Oklahoma State University
2376;R__Okamoto;1955-08-07;University of Copenhagen
2397;Shadie_Burke;1970-11-17;University of Wisconsin-Madiso
2396;Fangyong_Li;1990-12-25;University of Wisconsin-Madiso
2395;E__Kline;1969-05-17;Slovak University of Technology in Bratislava
2394;M__Ferrara;1988-06-28;Michigan State University
2393;V__Srihari;1958-07-11;Kyoto University
2392;A__Montgomery;1949-07-29;Kansas State University
2391;P__Bath;1958-04-08;University of Arkansas
2390;F__Craig;1976-11-05;Michigan State University
2389;E__Mitchell;1995-10-20;University of Nebraska-Lincoln
2388;T__Hepburn;1956-09-10;Michigan State University
2387;K__Thomas;1973-06-30;Wuhan University
2399;S__Guloksuz;1995-10-16;Oklahoma State University
2398;J__Cahill;1968-11-24;Beijing Normal University
9800;Cristina_Cerro_Zaballos;1984-06-16;University of Arkansas
9810;Javier_Felices_Triviño;1979-04-15;Oklahoma State University
9811;N__López;2001-03-16;University of Nebraska-Lincoln
9809;M__Martín;1994-05-29;University of Guelph
9803;Ingrid_P__Cortes_Forero;2000-01-11;University of Illinois
9804;P__C__Aliseda;1998-01-03;University of Wisconsin-Madiso
9801;Elizabeth_Claros_Llamas;1993-03-06;University of Arkansas
9802;Pilar_Coleta_Orduna;1948-02-20;University of Arkansas
9807;Trinidad_Dorado_Díaz;2000-04-04;Colorado State University
9808;Noemí_Echevarría_Blasco;1991-11-15;Oklahoma State University
9805;María_Angélica_de_Pablo_Pajares;1998-11-02;Oklahoma State University
9806;Y__D__Remesal;1961-02-11;Michigan State University
9821;Berta_Iglesias_Gallego;1963-06-05;University of Wisconsin-Madiso
9822;Sassan_Khonsari;1993-09-29;Beijing Normal University
9820;B__Olmedillo;1983-10-22;University of Nebraska-Lincoln
9814;L__G__Martín;1995-08-09;Michigan State University
9815;Clara_Gallego_Santos;1976-10-14;Kansas State University
9812;C__Martín;2002-12-06;Wuhan University
9813;Natalia_Ferreiro_Pozuelo;1982-06-13;University of Kentucky
9818;C__G__Cibrián;1995-10-13;Beijing Normal University
9819;E__H__López;1963-08-12;Kyoto University
9816;D__Mayo;1981-03-02;Colorado State University
9817;M__G__Rojo;1964-03-03;Slovak University of Technology in Bratislava
8501;Yoshiki_Morikami;2001-11-25;University of Kentucky
9832;Nilda_Martínez_Castro;2002-09-22;Oklahoma State University
8502;M__Nakagawa;1974-12-29;Colorado State University
9833;A__Pérez;1968-08-28;University of Guelph
9830;C__Rabes;1950-09-01;Kansas State University
8500;Bon_Ohta;1984-07-08;Kyoto University
9831;M__M__Borja;2000-05-17;Oklahoma State University
9825;Ana_Ortega;1961-06-03;Slovak University of Technology in Bratislava
9826;S__M__Burcio;1995-09-13;Chinese Academy of Sciences
9823;M__Ruiz;1959-09-08;Oklahoma State University
9824;M__M__Arroyo;1949-12-06;University of Illinois
9829;Jose_Juan_Martín_López;1951-11-30;Stanford University
9827;María_del_Carmen_Martín_González;1993-05-25;Wuhan University
9828;Ascensión_Martín_Grande;1995-08-19;Colorado State University
9840;Lorena_Muñoz_Pérez;1951-10-16;University of Illinois
8512;G__Jakllari;1991-01-24;University of Copenhagen
9843;Óscar_Ordoñez_Recio;1972-02-03;Kyoto University
8513;E__Chaput;1999-04-01;Oklahoma State University
9844;M__Rodríguez;1970-07-29;University of Copenhagen
8510;P__Buchwald;1949-12-23;University of Guelph
9841;Mónica_Nuñez_Murias;1990-11-06;Kansas State University
8511;Firmin_Kateu;1985-03-27;China Agricultural University
9842;E__González;1965-03-14;Oklahoma State University
8505;A__Kuczmog;1965-07-15;Kansas State University
9836;L__M__Herrera;1994-07-21;University of Copenhagen
8506;R__Eells;1966-02-07;Kyoto University
9837;A__Betancur;1963-11-13;Wuhan University
8503;Sung_Ting_Chuang;1981-02-26;China Agricultural University
9834;S__Matcan;1990-06-03;University of Arkansas
8504;H__Papp;2002-09-08;Wuhan University
9835;C__Viñas;1976-02-28;Chinese Academy of Sciences
8509;F__Jakab;1961-12-02;Kansas State University
8507;J__M__Cóndor_Capcha;1977-06-10;University of Copenhagen
9838;María_Montiel_Carbajo;1979-05-06;Slovak University of Technology in Bratislava
8508;Lina_A__Shehadeh;1996-01-18;China Agricultural University
9839;Javier_Moya_Moradas;1974-09-29;University of Copenhagen
9850;Inmaculada_Rodriguez_Diaz_Regaño;1999-10-20;University of Kentucky
8520;S__Khatibi;1988-02-29;Michigan State University
9851;D__Esteban;1992-04-20;Wuhan University
8523;Arantxa_Mas;1985-12-31;University of Copenhagen
9854;Bárbara_Saavedra_Villarino;2003-03-07;China Agricultural University
8524;C__González_Isern;1951-05-16;China Agricultural University
9855;N__Palero;1974-11-13;Wuhan University
8521;M__Mozafari;1950-02-26;University of Illinois
9852;Víctor_Rojas_Pernia;1973-05-02;Colorado State University
8522;P__Wendel_Garcia;1971-01-14;University of Arkansas
9853;Álvaro_Sáiz;1948-10-10;Oklahoma State University
8516;M__M__Kebria;1955-05-02;University of Arkansas
9847;D__Lagunas;1980-09-28;University of Kentucky
8517;P__B__Milan;1972-09-09;Slovak University of Technology in Bratislava
9848;Juana_María_Pinto_Corraliza;1990-04-04;Kyoto University
8514;M__Ferrari;1982-04-29;University of Kentucky
9845;D__Roux;1970-03-30;Wuhan University
8515;V__Quaresima;1975-01-29;University of Copenhagen
9846;L__Torres;1972-09-20;Kansas State University
8518;N__Peyravian;1964-02-12;Chinese Academy of Sciences
9849;M__P__Rodrigo;1987-11-06;Kyoto University
8519;J__Kiani;1975-06-28;University of Nebraska-Lincoln
8530;J__Trenado;1966-08-27;University of Copenhagen
9861;Marta_de_la_Torre_Concostrina;1948-05-23;Stanford University
8531;R__Fernandez;1964-09-11;University of Wisconsin-Madiso
9862;Eva_María_Ureta_Mesa;1993-10-25;University of Copenhagen
7200;Miki_Kajisa;1959-07-15;China Agricultural University
9860;Carlos_Tiscar_García;1966-05-08;Colorado State University
7202;S__Ohkura;1968-06-27;Kyoto University
8534;M__Ibarz;1985-02-27;University of Guelph
9865;Raúl_Villalaba_Palacios;1997-12-25;University of Arkansas
7201;Y__Morita;1954-02-13;University of Arkansas
